상품명,연결중심성,매개중심성,연결&매개 상위 10% 여부,ip포함여부
글로브)밀크쌀과자우유맛56g(미니),0.047777040477770406,0.0020704175840278055,0,X
쿡인페이퍼)즉석진라면매운맛,0.017916390179163903,0.0021947519125671312,0,X
CJ)맥스봉구운풍미마늘후랑크80g,0.026542800265428004,0.0024668950848398753,0,X
CJ)맥스봉고소한치즈후랑크65g,0.013271400132714002,0.003064376738190961,0,X
팔도)볼케이노까르보나라큰컵,0.015262110152621102,0.00076196046326992,0,X
MDS)매콤&로제반반떡볶이200g,0.023224950232249502,0.0028933743984955293,0,X
"삼립)1,900토마토피자브레드110g",0.0092899800928998,0.0009781768455423222,0,X
PB)수건모양초코마시멜로100g,0.0159256801592568,0.0014730928871913864,0,O
에이스)브릭벽돌초콜릿50g,0.023224950232249502,0.0006638104895118927,0,X
그린)새우튀김김밥,0.046449900464499004,0.0038558954557236006,1,X
하림)오늘단백초코라떼250ml,0.0053085600530856005,0.00021158310323592244,0,X
해태)자가비밀크쉐이크맛45g,0.10882548108825481,0.020564541746310495,1,X
동아)얼박사355ml,0.017252820172528202,0.0032987461433628125,0,X
삼립)소보루꿀호떡90g,0.0039814200398142,1.58003892922732e-05,0,X
카브루)리얼자몽하이볼355ml캔,0.023888520238885203,0.0036311898363610875,0,X
MDS)젤리블리제로애플샤인60g,0.029860650298606503,0.004174960388716437,0,X
삼립)주종발효카스타드크림빵105g,0.047113470471134705,0.004800751635223896,1,X
롯데)조이베지5바질솔트맛50g,0.054412740544127404,0.006413944365345917,1,X
롯데)베이컨크리미불닭삼각,0.019907100199071003,0.0015693067608595953,0,X
G)마루짱모찌우동109g,0.054412740544127404,0.009633335168444557,1,X
그린)K불고기버거,0.019907100199071003,0.0007247342803772157,0,X
매일)피크닉천도복숭아240ml,0.0013271400132714001,6.761078217070115e-06,0,X
CJ)비비고떡볶이로제108g,0.0046449900464499,0.000764642650226466,0,X
삼립)오븐구운도넛200g(5입),0.006635700066357001,0.0003112766770678493,0,X
삼립)따라큐의쿠앤크팡팡80g,0.027206370272063702,0.00177157918862412,0,X
PB)이정후파스퇴르밀크파운드60g,0.0165892501658925,0.0006557744434473739,0,O
매일)원데이헤이즐넛190ml,0.0019907100199071,4.644279967650492e-05,0,X
스위트)부르봉 페투치니(프루티맛)47g,0.055739880557398806,0.0031936096695667814,0,X
티니핑)하츄핑의크림케익스트로베리90g,0.005972130059721301,1.6347722350470388e-05,0,X
티니핑)반짝핑의카스타드슈크림빵95g,0.0092899800928998,0.00012632933309497153,0,X
스위트)트롤리블루옥토퍼스100g,0.0245520902455209,0.00017038894971607363,0,X
비달)스위트케이크모양젤리66g,0.029860650298606503,0.0007396330140611002,0,X
스위트)트롤리핑구미100g,0.0371599203715992,0.0008169228580180204,0,X
서주)젤리인젤리콜라사이다맛40g,0.046449900464499004,0.002006473594872244,0,X
총동원)고추참치김치유부초밥,0.0165892501658925,0.0007432511418475061,0,X
초코텍)메론멜로볼50g,0.017252820172528202,0.00046699633846374787,0,X
크라운)화이트하임49g,0.034505640345056404,0.0014562830468231483,0,X
