post_id,date,timestamp,title,body,likes,comments,url
3798727324929720418,2025-12-30,2025-12-30T03:00:07.000Z,#EVENT,"곧 다가올 붉은 말의 해에는 🐎
적토마 기운 담은 빨간 토마토 신상으로
건강과 맛 모두 챙기자🍅

🍴진한 토마토 풍미 가득 갈릭 파스타
💖쫄깃한 닭다리살 듬뿍 로스트닭다리살 샐러드
🌮든든하고 간편하게 베이컨 듬뿍 토스트샌드
🍔피자 소스를 듬뿍 담아 구성한 피자버거 

카카오페이, 비씨카드 결제 시 20% 할인! 
이토록 알찬 구성 몽땅 다~즐기고파 >_< 

🎁적토마토 신상으로 새해를 시작하고 싶다면?
댓글에 토마토 이모티콘을 🍅 달아주세요!
추첨을 통해 세븐일레븐 모바일 상품권을 드립니다.
(@7elevenkorea 팔로우 필수!)

☑️일정: 12/30(화)~1/5(월)
☑️경품: 세븐일레븐 모바일 상품권 5,000원 권 / 10명
☑️당첨자 발표: 1/16(금)

적토마토)갈릭파스타🏷️4,900원
적토마토)로스트닭다리살샐러드🏷️5,200원
적토마토)베이컨듬뿍토스트샌드🏷️3,500원
적토마토)피자버거🏷️3,800원
(*칠성사이다제로 250ml 50% 콤보 할인 (12/30~31) 

#세븐일레븐 #적토마토",1708,1028,https://www.instagram.com/p/DS3ymAhAYBi/
3790935944287302409,2025-12-19,2025-12-19T09:00:02.000Z,#세븐신상,"바삭바삭! 어디서 맛있는 소리가 들리네? 👂
그것은 바로 꾸이맨 바삭칩 먹는 소리-💚

순수한 카놀라유로 튀겨진 꾸이맨 바삭칩!
기름을 하루에 한 번만 사용해서
믿고 먹을 수 있다구요ദ്ദി(｡•̀ ,<)~✩‧₊

한입에 쏘옥~맛있게 즐겨요
먹고 또 먹을꾸이꾸이~🙌

꾸이맨 바삭칩🏷️4,800원

#세븐일레븐 #꾸이맨바삭칩",131,3,https://www.instagram.com/p/DScHCf1gTMJ/
3790815173439193962,2025-12-19,2025-12-19T05:00:05.000Z,#EVENT,"🤎 더 새로워진 SEVEN CAFE 🤎
2026년 새해를 맞아 더 새롭게 탄생한 세븐카페가
여러분 곁을 찾아옵니다!

최상급 원두로 풍미 가득↑
맛도 디자인도 NEW!

🎁더 완벽해진 세븐카페의 베이스 원두는 어느 나라의 원두일까요?
댓글로 새로운 베이스 원두 원산지를 맞춰주세요~!
추첨을 통해 세븐일레븐 모바일 상품권을 드립니다.
(@7elevenkorea 팔로우 필수!)

HINT : 
☕ㅋㄹㅂㅇ 원두
☕ㅂㄹㅈ 원두

☑️일정: 12/19(금)~12/25(목)
☑️경품: 세븐일레븐 모바일 상품권 5,000원 권 / 10명
☑️당첨자 발표: 1/6(화)

#세븐일레븐 #세븐카페",955,983,https://www.instagram.com/p/DSbrlDOAQNq/
3792808332923933728,2025-12-21,2025-12-21T23:00:08.000Z,#세븐신상,"🛒12월 넷째 주 신상Pick🛒

힙합보단 사랑🎵
사랑보단 세븐신상🍽️

🍱간장제육&제육볶음&쏘야볶음! 맛있는 거 다 모았다
🍗치킨마요 토핑이 가득 들어간 단짠 김밥
🍓달콤한 초코별&상큼한 딸기별
🍵말차 신상은 못 참지! 초코별말차별
🧅역대급 가성비 감자칩! 사워크림앤어니언향
🥔바삭한 식감과 짭짤한 맛! 감자칩 오리지널

도시락부터 스낵까지 비교불가 갓성비인
세븐일레븐 신상을 만나보세요🎁

★。-—따끈한 신상 라인업 —。★
반반제육&쏘야도시락🏷️5,500원
치킨마요듬뿍김밥🏷️3,300원
초코별딸기별🏷️2,000원
초코별말차별🏷️2,000원
감자칩 사워크림앤어니언향🏷️1,600원
감자칩 오리지널🏷️1,600원

#세븐일레븐 #신상pick",281,2,https://www.instagram.com/p/DSiwxVpEpQg/
3792929092723096039,2025-12-22,2025-12-22T03:00:04.000Z,#EVENT,"겨울 추위 다 녹이는 뜨끈한 가락국수❄️

🍜멸치가락국수
깊고 시원한 멸치 육수에
쫄깃쫄깃한 면발!

🍜김치가락국수
칼칼한 김치가 들어가
먹자마자 속이 풀리는 얼큰 신상!

추위마저 녹일 따뜻한 가락국수🩷
세븐일레븐에서 만나보세요♡=͟͟͞͞ ( ˙꒳​˙ )‪꜆

🎁멸치가락국수vs김치가락국수, 여러분의 원픽은?
댓글로 가장 먹어보고 싶은 가락국수를 알려주세요~!
추첨을 통해 세븐일레븐 모바일 상품권을 드립니다.
(@7elevenkorea 팔로우 필수!)

☑️일정: 12/22(월)~12/28(일)
☑️경품: 세븐일레븐 모바일 상품권 5,000원 권 / 10명
☑️당첨자 발표: 1/14(수)

멸치가락국수🏷️3,900원
김치가락국수🏷️3,900원

#세븐일레븐 #멸치가락국수 #김치가락국수",827,759,https://www.instagram.com/p/DSjMOn-ATnn/
3789482629292687599,2025-12-17,2025-12-17T09:00:12.000Z,#EVENT,"생초코파이 붐은 온다🤎

21년부터 이어진
일본 롯데 스테디셀러
生초코파이 한국 상륙🛳️

100% 동물성생크림을 사용해
더욱 고소하고 풍미있는 고퀄 디저트✨

냉장 보관으로 더 촉촉하고
달콤하게 만나보세요🍩

한정수량으로 판매될 예정이니
빠르게 세븐일레븐에서 GET하기 약속~🤙

※서울, 부산, 제주 500개 점포에서 한정 수량 판매하므로,
세븐일레븐 APP에서 점포 재고 확인 후
방문 부탁드립니다.

🎁댓글로 함께 생초코파이를 즐기고 싶은 친구를 태그해주세요!
추첨을 통해 세븐일레븐 모바일 상품권을 드립니다.
(@7elevenkorea 팔로우 필수!)

☑️일정: 12/17(수)~12/23(화)
☑️경품: 세븐일레븐 모바일 상품권 5,000원 권 / 10명
☑️당첨자 발표: 1/13(화)

생초코파이🏷️4,000원 

#세븐일레븐 #생초코파이",1016,668,https://www.instagram.com/p/DSW8l-xgQDv/
3790755032748591012,2025-12-19,2025-12-19T03:00:00.000Z,#세븐신상,"🎄드디어 다가온 크리스마스 D-6🎄
가장 설레는 하루를 더 설레게 보내는 방법
ଘ(੭ˊᵕˋ)੭* ੈ✩‧₊˚
 
반짝이는 트리 앞에 앉아 소중한 사람들과 함께
세븐일레븐의 케이크로 달콤한 오늘을 완성해보세요🎂
 
귀여운 테디베어 키링까지 득템 가능한 기회까지🧸💗
 
🎂12/31(수)까지 행사 케이크 9종
비씨카드, 하나카드 결제 시 20% 현장 할인!
 
✅테디베어 생크림우유케이크🏷️35,000원 → 할인 시 28,000원
✅테디베어 티라미수케이크🏷️35,000원 → 할인 시 28,000원
✅테디베어 미니케이크(우유)🏷️7,500원 → 할인 시 6,000원
✅테디베어 미니케이크(초코)🏷️7,500원 → 할인 시 6,000원
✅아티제 발로나 산타 테디베어 초코케이크🏷️33,000원 → 할인 시 26,400원
✅아티제 화이트 산타 테디베어 케이크🏷️33,000원 → 할인 시 26,400원
✅아티제 클래식 롤케이크🏷️22,000원 → 할인 시 17,600원
✅아티제 화이트 바닐라빈 롤케이크🏷️22,000원 → 할인 시 17,600원
✅아티제 초코 롤케이크🏷️21,000원 → 할인 시 16,800원

🐻테디베어 키링 증정 상품
테디베어 생크림우유케이크
테디베어 티라미수케이크
아티제 발로나 산타 테디베어 초코케이크
아티제 화이트 산타 테디베어 케이크
 
※할인한도: 1회 결제당 1만원
※한 영수증 내 두 종류 이상의 카드/페이 행사 중복 적용 불가합니다.
※일부 특수 매장, 세븐 APP 예약주문 및 판매건의 경우 행사에서 제외됩니다.
※본 행사는 제휴사 사정에 따라 사전 고지 없이 변경되거나 조기 종료될 수 있습니다.
 
#세븐일레븐 #MERRYCHRISTMAS",277,17,https://www.instagram.com/p/DSbd541gQek/
3789393673884624210,2025-12-17,2025-12-17T06:00:03.000Z,#세븐신상,"2026년 붉은 말의 해🐴
새해 맞이 NEW 화요 등장🌅

100% 국내산 쌀과 물을 원료로 만든
명품 화요53도 750ml 적마에디션🍶

적마의 기운을 팍팍 불어넣은 화요 신상♥️
새해를 맞아 가족, 지인에게 선물하며
이번 기회에 고마움을 표현해보세요🎁

세븐일레븐에서 한정수량으로 만나볼 수 있으니
놓치지 말고 득템하세요❤️

화요53도 750ml 적마에디션🏷️75,000원

📌지나친 음주는 암 발생의 원인이며,
임신 중 음주는 태아의 기형이나 유산,
청소년 음주는 성장과 뇌 발달을 저해합니다.

#세븐일레븐 #화요53도750ml적마에디션",143,4,https://www.instagram.com/p/DSWoXgmAWVS/
3794257871526578822,2025-12-23,2025-12-23T23:00:06.000Z,#세븐신상,"세븐일레븐에 별이 쏟아진다💫
💗초코별딸기별, 초코별말차별 출시💗

진한 초콜렛을 넣어 달달한 초코별과🍫
상큼한 딸기별🍓 쌉싸름한 말차별의 맛.남🍵

두 가지 맛을 한 번에
즐길 수 있는 일석이조 스낵✌️✌️
지금 세븐일레븐에서 겟하세요🌠

초코별딸기별🏷️2,000원
초코별말차별🏷️2,000원

📢12/24(수)~1/31(토) 2+1 행사 진행!
(*교차 가능)

#세븐일레븐 #초코별딸기별 #초코별말차별",184,14,https://www.instagram.com/p/DSn6W5qkkqG/
3793019712674324646,2025-12-22,2025-12-22T06:00:06.000Z,#EVENT,"일본에서 건너온 품절대란템! 아사이볼&망고볼🫐🥭
2+1에 카카오페이머니 10% 할인까지?!
💸3개 구매 시 최대 혜택가: 개당 3,900원!

📢12월 2+1 행사 진행! (*교차 가능)

📢12월 카카오페이머니 결제 시 10% 할인!
아사이볼🏷️6,500원→5,850원
망고볼🏷️6,500원→5,850원

📆12.3~12.31! 12월 한 달 동안
상큼달콤한 스무디볼 행사 혜택을 누려보세요💜

🎁12월 스무디볼 행사 놓칠 수 없다면?
댓글에 친구를 태그해 행사 소식을 소문내주세요~!
추첨을 통해 세븐일레븐 모바일 상품권을 드립니다.
(@7elevenkorea 팔로우 필수!)

☑️일정: 12/22(월)~12/28(일)
☑️경품: 세븐일레븐 모바일 상품권 5,000원 권 / 10명
☑️당첨자 발표: 1/15(목)

#세븐일레븐 #아사이볼 #망고볼",658,624,https://www.instagram.com/p/DSjg1UYAeCm/
