mapped_pos_item_code,mapped_item_name,category_l,category_m,total_events,unique_users,weighted_interest_score,view_count,cart_add_count,wishlist_add_count,first_event_date_in_period,period_label,cart_add_per_100_views
109362,7찬도시락,미반,도시락,662,349,853.5,529,108,8,2025-04-21,2025-04 하순,20.4159
012679,11찬 도시락,미반,도시락,632,340,786.0,515,91,8,2025-04-21,2025-04 하순,17.6699
324783,SK텔링크)반값유심,서비스 상품,일반서비스,543,219,737.5,431,99,7,2025-04-23,2025-04 하순,22.9698
125084,PB)이봉원의봉짬뽕224g,냉장,냉장간편식,639,297,733.0,500,72,28,2025-04-21,2025-04 하순,14.4
123396,앙리마티스)와인볼(레드)500ml캔,양주와인,하이볼,576,215,733.0,462,70,35,2025-04-21,2025-04 하순,15.1515
324300,SK텔링크)알뜰유심,서비스 상품,일반서비스,536,204,719.0,413,93,19,2025-04-21,2025-04 하순,22.5182
070092,서울)흰우유1L,유음료,흰우유,487,153,706.0,295,147,5,2025-04-21,2025-04 하순,49.8305
124529,롯데)최강록의간장들기름비빔밥,미반,도시락,640,340,704.5,536,55,16,2025-04-21,2025-04 하순,10.2612
107879,4월 세븐카페 구독,,,516,323,703.0,416,90,9,2025-04-21,2025-04 하순,21.6346
124675,KBO)삼립LG트윈스쌍둥이딸기샌드99g,빵,간식빵,535,250,702.0,364,116,15,2025-04-21,2025-04 하순,31.8681
125374,PB)자이언츠피카츄냐냐71g,과자,스낵류,612,309,699.0,480,0,117,2025-04-25,2025-04 하순,0.0
124677,KBO)삼립삼성라이온즈블루베리패스츄리100g,빵,간식빵,553,280,692.0,376,106,23,2025-04-21,2025-04 하순,28.1915
132865,PB)우불식당즉석우동큰컵,면,용기면,536,199,673.0,402,96,7,2025-04-21,2025-04 하순,23.8806
124533,롯데)맛장우맛자랑 부대볶음,미반,도시락,569,235,669.0,462,77,2,2025-04-21,2025-04 하순,16.6667
041567,PB)푸하하소금우유크림빵110g,디저트,냉장베이커리,533,237,668.0,384,100,11,2025-04-21,2025-04 하순,26.0417
125237,엔시티위시2집미니앨범,미디어 상품,음반,581,305,661.0,500,47,18,2025-04-21,2025-04 하순,9.4
110580,농심)포테토칩오리지널60g,과자,스낵류,439,188,640.0,266,130,9,2025-04-21,2025-04 하순,48.8722
