mapped_pos_item_code,mapped_item_name,category_l,category_m,total_events,unique_users,weighted_interest_score,view_count,cart_add_count,wishlist_add_count,first_event_date_in_period,period_label,cart_add_per_100_views
109497, 미쓰이)홋카이도우유크림모찌56g,디저트,냉동디저트,1461,706,1626.0,1224,120,53,2025-05-11,2025-05 중순,9.8039
123308,CJ)무항생제1등급계란10입,신선,수축산/계란,1230,436,1597.0,944,222,17,2025-05-11,2025-05 중순,23.5169
109131,신동엽)생드래프트비어500ml캔,맥주,국산맥주,1347,565,1583.5,1084,167,31,2025-05-11,2025-05 중순,15.4059
210386,삼양)삼양라면큰컵,면,용기면,1245,469,1562.0,800,295,9,2025-05-11,2025-05 중순,36.875
125341,5월 도시락 구독(첫구독100원),,,952,442,1475.5,681,260,8,2025-05-11,2025-05 중순,38.1791
834917,5월 도시락 구독,,,938,453,1424.0,683,240,12,2025-05-11,2025-05 중순,35.1391
115587,MQ)프링글스양파맛53g,과자,스낵류,1003,328,1414.0,598,300,7,2025-05-11,2025-05 중순,50.1672
125580,PB)자이언츠월드콘160ml,아이스크림,노벨티,1234,772,1402.0,1005,77,106,2025-05-15,2025-05 중순,7.6617
125626,(3EA) SEVENTEEN 5th Album ‘HAPPY BURSTDAY’ (일반반),미디어 상품,음반,1063,529,1393.5,831,175,31,2025-05-11,2025-05 중순,21.059
123397,앙리마티스)와인볼(화이트)500ml캔,양주와인,하이볼,1063,444,1392.0,772,182,61,2025-05-11,2025-05 중순,23.5751
118889,시원)후와토로리치피스타치오40g,디저트,냉동디저트,1126,549,1382.0,868,163,40,2025-05-11,2025-05 중순,18.7788
014287,롯데)NEW참치마요네즈삼각,미반,삼각김밥,1102,460,1362.0,741,223,29,2025-05-11,2025-05 중순,30.0945
124340,G)LOOK초콜릿딸기복숭아46g,과자,초콜릿,1020,424,1289.0,748,180,31,2025-05-11,2025-05 중순,24.0642
123552,롯데)7찬도시락,미반,도시락,1015,334,1279.0,678,230,6,2025-05-11,2025-05 중순,33.9233
123629,G)LOOK초콜릿(네가지과일)44g,과자,초콜릿,1121,667,1264.0,958,97,27,2025-05-11,2025-05 중순,10.1253
107478,롯데)고기(肉)맥시멈도시락,미반,도시락,1095,341,1258.0,767,198,9,2025-05-11,2025-05 중순,25.8149
990263,"모바일금액권 10,000원",기타,판촉물,807,392,1242.5,569,220,10,2025-05-11,2025-05 중순,38.6643
108563,비노)콜미레이터러시안잭쇼비뇽블랑750ml,양주와인,와인,984,388,1241.5,783,133,42,2025-05-11,2025-05 중순,16.986
070092,서울)흰우유1L,유음료,흰우유,849,271,1239.0,509,260,10,2025-05-11,2025-05 중순,51.0806
108401,롯데)맛장우도시락 고기(肉)올인원,미반,도시락,1020,451,1221.5,717,170,42,2025-05-11,2025-05 중순,23.7099
150954,해태)부라보바닐라160ml,아이스크림,노벨티,825,268,1207.0,537,232,10,2025-05-11,2025-05 중순,43.203
123307,PB)착한콘칩65g,과자,스낵류,876,294,1189.0,627,187,21,2025-05-11,2025-05 중순,29.8246
012679,11찬 도시락,미반,도시락,920,436,1158.0,715,150,16,2025-05-11,2025-05 중순,20.979
125416,자이언츠)마!비어라500ml캔,맥주,국산맥주,984,449,1151.5,718,104,92,2025-05-11,2025-05 중순,14.4847
